ABACA, TAREI SULAC BONCA ABACA 
CRONC, TAREI MOSUC CRONC 
CROSA, TAREI SUCNA ABACA CROSA 
CROSE, TAREI COMUN ACELA CROSE 
CROWN, TAREI MOSUC CROWN 
CRUCE, TAREI COMUN ADAPE CRUCE 
CRUCI, TAREI OCURS ABACA CRUCI 
CRUDA, TAREI SUCNA ABDIC CRUDA 
CRUDE, TAREI COMUN ADAPE CRUDE 
CRUNT, TAREI SOCUL ABACA CRUNT 
CRUPA, TAREI SUCNA ABDIC CRUPA 
CRUPE, TAREI COMUN ADAPE CRUPE 
CRUSI, TAREI OCURS CRUSI 
CRUTA, TAREI CROAT CRUTA 
CRUTE, TAREI RUSCE CRUTE 
CRUTI, TAREI VOTRU ACUMA CRUTI 
CRUZI, TAREI OCURS ABACA CRUZI 
CUAGA, TAREI SULAC CLAMP CUAGA 
CUART, TAREI CROAT ABATU CUART 
CUBAI, TAREI SULAC BUJDA CUBAI 
CUBAJ, TAREI SULAC JAMBU CUBAJ 
CUBAM, TAREI SULAC JAMBU CUBAM 
CUBAN, TAREI SULAC JAMBU CUBAN 
CUBAT, TAREI SULAC JAMBU CUBAT 
CUBAU, TAREI SULAC JAMBU CUBAU 
CUBEB, TAREI MUSON COBZE CUBEB 
CUBEZ, TAREI MUSON COBZE CUBEZ 
CUBIC, TAREI COLUN AMPLU CUBIC 
CUBII, TAREI SOCUL PUIND CUBII 
CUBUL, TAREI BOLUS ABACA CUBUL 
CUCAI, TAREI SULAC BUJDA CUCAI 
CUCII, TAREI SOCUL DUBIM ARHON CUCII 
CUCON, TAREI BOLUS CAMPA CUCON 
CUCOR, TAREI MOSUC ABCES CUCOR 
CUCOS, TAREI BOLUS CUFAR CUCOS 
CUCUI, TAREI SOCUL ALPIN CUCUI 
CUCUL, TAREI BOLUS PFUND CAZAM CUCUL 
CUCUT, TAREI LOCUS ABNEG CUCUT 
CUFAR, TAREI SUCNA ADAPA CUFAR 
CUGET, TAREI COMUT ABNEG CUGET 
CUHNE, TAREI SONUL BAHNA CUHNE 
CUHNI, TAREI SOCUL PUIND CUHNI 
CUIBA, TAREI MILAN SODIC GUBAV CUIBA 
CUIER, TAREI PLIMB CUCOR CUIER 
CUINA, TAREI MILAN DUIOS CUINA 
CUINE, TAREI MULSE CANAF CUINE 
CUINI, TAREI SOCUL PUIND CUINI 
CUIUL, TAREI COLUN AUIAI CUIUL 
CUIUT, TAREI SOCUL ABDIC CUIUT 
CUIVA, TAREI MILAN SODIC GUBAV CUIVA 
CUJBA, TAREI SULAC CLAMP CUJBA 
CUJBE, TAREI SONUL DUCEM CUJBE 
CULAC, TAREI SULAC CULAC 
CULCA, TAREI SULAC BLIMP CULCA 
CULCE, TAREI SONUL CULME ABACA CULCE 
CULCI, TAREI SOCUL BULCA ABDIC CULCI 
CULEE, TAREI MUSON COBZE CULEE 
CULEG, TAREI MUSON COBZE ABALE CULEG 
CULEI, TAREI SONUL ACLAM CULEI 
CULES, TAREI MUSON CUPLU CULES 
CULIC, TAREI COLUN CULIC 
CULII, TAREI SOCUL BULCA ABDIC CULII 
CULMA, TAREI SULAC BLIMP CULMA 
CULME, TAREI SONUL CULME 
CULMI, TAREI SOCUL BULCA ABDIC CULMI 
CULOT, TAREI LOCUS ABALE CULOT 
CULPA, TAREI SULAC BLIMP CULPA 
CULPE, TAREI SONUL CULME ABACA CULPE 
CULTA, TAREI SULAC CULTA 
CULTE, TAREI SOPUL ACELA CULTE 
CULTI, TAREI COSUL CULTI 
CUMAN, TAREI SULAC JAMBU CUMAN 
CUMAS, TAREI SULAC CUMAS 
CUMEN, TAREI MUSON ACELA CUMEN 
CUMIS, TAREI COLUN AMPLU CUMIS 
CUMUL, TAREI BOLUS PFUND CAZAM CUMUL 
CUMVA, TAREI SULAC CLAMP CUMVA 
CUNUN, TAREI BOLUS CUNUN 
CUPAJ, TAREI SULAC JAMBU CUPAJ 
CUPAR, TAREI SUCNA ADAPA CUPAR 
CUPEA, TAREI LOCUS CUPEA 
CUPEI, TAREI SONUL DUBIM CUPAJ CUPEI 
CUPET, TAREI COMUT ABNEG CUPET 
CUPEU, TAREI MUSON COBZE ABALE CUPEU 
CUPID, TAREI COLUN AMPLU CUPID 
CUPIT, TAREI SOCUL BATIC CUPIT 
CUPIU, TAREI COLUN AMPLU CUPIU 
CUPLA, TAREI SULAC ABACA CUPLA 
CUPLE, TAREI SONUL CULME CUPLE 
CUPLU, TAREI BOLUS AFECT CUPLU 
CUPON, TAREI BOLUS CAMPA CUPON 
CUPRA, TAREI SUCNA CUPRA 
CUPRU, TAREI MOSUC ABALE CUPRU 
CURAI, TAREI BIFAU CADEM CURAI 
CURAJ, TAREI CUBAM ABATU CURAJ 
CURAM, TAREI CUBAM CURAM 
CURAT, TAREI BUHAS CADEM CURAT 
CURAU, TAREI CUBAM ABATU CURAU 
CURBA, TAREI CUBAM CURBA 
CURBE, TAREI MUCOS ABNEG CURBE 
CURBI, TAREI COBIM CURBI 
CURCA, TAREI CUBAM GASCA CURCA 
CURCI, TAREI COBIM ADUCA CURCI 
CUREA, TAREI CONDU CUREA 
CUREI, TAREI MOSUC CUREI 
CUREZ, TAREI MUCOS ABDIC CUREZ 
CURGA, TAREI CUBAM GASCA CURGA 
CURGE, TAREI MUCOS ABNEG CURGE 
CURIA, TAREI MUSCA CURIA 
CURIE, TAREI SCUFE CURIE 
CURII, TAREI COBIM ABATU CURII 
CURIU, TAREI MUCOS ABATU CURIU 
CURMA, TAREI CUBAM CURMA 
CURME, TAREI MUCOS CURME 
CURMI, TAREI COBIM CURMI 
CURRY, TAREI COMUN CURRY 
CURSA, TAREI CUBAM GASCA CURSA 
CURSE, TAREI MUCOS CURSE 
CURTA, TAREI BUHAS ACTIV CURTA 
CURTE, TAREI COBUZ CURTE 
CURTI, TAREI BOSMA CURTI 
CURUL, TAREI COMUN CURUL 
CURUT, TAREI CUPON CURUT 
CURVA, TAREI CUBAM GASCA CURVA 
CURVE, TAREI MUCOS ABNEG CURVE 
CURVI, TAREI COBIM ADUCA CURVI 
CUSAC, TAREI SULAC CUSAC 
CUSCA, TAREI SULAC BLIMP CADEA CUSCA 
CUSER, TAREI ROCUL CUSER 
CUSMA, TAREI SULAC BLIMP CUSMA 
CUSME, TAREI SONUL ABACE CUSME 
CUSTI, TAREI COSUL CUSTI 
CUSUI, TAREI SOCUL CUSUI 
CUSUR, TAREI MOSUC CUSUR 
CUSUT, TAREI LOCUS CUSUT 
CUTAI, TAREI COTUL CUTAI 
CUTAM, TAREI SULAC JAMBU CUTAM 
CUTAT, TAREI SULAC JAMBU ABCES CUTAT 
CUTAU, TAREI SULAC JAMBU CUTAU 
CUTEA, TAREI BUCSA CUTEA 
CUTEI, TAREI SIFON GECKO CUTEI 
CUTER, TAREI RETUS CUTER 
CUTEZ, TAREI COMUT CUTEZ 
CUTIA, TAREI SUINA ABDIC CUTIA 
CUTIE, TAREI SILIM DUTCE CUTIE 
CUTII, TAREI COSUL ABATA CUTII 
CUTIT, TAREI SOCUL BATIC CUTIT 
CUTRA, TAREI CROAT CUTRA 
CUTRE, TAREI RUSCE CUTRE 
CUVEI, TAREI SONUL DUBIM CUPAJ CUVEI 
CUVIE, TAREI MULSE CANAF CUVIE 
CUVIN, TAREI COLUN ABURC CUVIN 
CVART, TAREI CROAT ABATU CVART 
CVASI, TAREI SULAC CVASI 
DACEI, TAREI VOLSC IMBUN ABCES DACEI 
DACIC, TAREI SUCIM ABDIC DACIC 
DACII, TAREI SPLIN MUCED DACII 
DACIT, TAREI SPLIT CUMAN ABDIC DACIT 
DACUL, TAREI SULAC COBUZ DIJMA DACUL 
DADEA, TAREI MULSA DECAN DADEA 
DADEI, TAREI VOLSC MAIND BIFEZ AGHII DADEI 
DADUI, TAREI SPLIN CUBAM ABDIC DADUI 
DAFIA, TAREI SUCIM LODBA ABNEG DAFIA 
DAFIE, TAREI SPLIN BUDAM DAFIE 
DAFII, TAREI SPLIN MUCED BIFEZ DAFII 
DAFIN, TAREI SUCIM LODBA DAFIN 
DAGII, TAREI SPLIN MUCED BIFEZ ABDIC DAGII 
DAIAC, TAREI SUCIM DANGA DAIAC 
DAICA, TAREI SUCIM DANGA DAICA 
DAICI, TAREI SPLIN CUBAM ADAOG DAICI 
DAINA, TAREI SUCIM GLAND DAINA 
DAIRA, TAREI RONDA DAIRA 
DALAC, TAREI SULAC ABDIC DALAC 
DALAJ, TAREI SULAC HOJMA DALAJ 
DALBA, TAREI SULAC GHEBA ADANC DALBA 
DALBE, TAREI SCUMP BLOND DALBE 
DALBI, TAREI SPLIN CUBAM ABDIC DALBI 
DALEI, TAREI VOLSC GHIZD DALEI 
DALIA, TAREI SUCIM LODBA DALIA 
DALIE, TAREI SPLIN ABDIC DALIE 
DALII, TAREI SPLIN ABDIC DALII 
DALMA, TAREI SULAC GHEBA CUMVA ABDIC DALMA 
DALME, TAREI SCUMP ADULA DALME 
DALTA, TAREI CUTAM FOSNI ABDIC DALTA 
DALTI, TAREI SULAC ABDIC DALTI 
DAMEI, TAREI VOLSC MAIND DAMEI 
DAMII, TAREI SPLIN MUCED DAMII 
DAMNA, TAREI SULAC MANGO ABDIC DAMNA 
DAMUL, TAREI SULAC PFUND HAVAJ DAMUL 
DANAC, TAREI SULAC MIZID ABNEG DANAC 
DANCE, TAREI SCUMP COLNA DANCE 
DANCI, TAREI SPLIN MUNCA ABDIC DANCI 
DANDI, TAREI SPLIN MUNCA DIVAN DANDI 
DANDY, TAREI SULAC MANGO ADAPA DANDY 
DANEI, TAREI VOLSC MAIND ABDIC DANEI 
DANEZ, TAREI MULSA PFUND DANEZ 
DANGA, TAREI SULAC MANGO ABDIC DANGA 
DANIA, TAREI SUCIM LODBA ABNEG DANIA 
DANIE, TAREI SPLIN ABDIC DANIE 
DANII, TAREI SPLIN NECUM BIFID DANII 
DANOS, TAREI SULAC BINOM ABDIC DANOS 
DANSA, TAREI SULAC BINOM ADAPA DANSA 
DANTA, TAREI CUTAM FOSNI BAHLA ADAPA DANTA 
DANUI, TAREI SPLIN MUNCA ABACA DANUI 
DANUL, TAREI SULAC PFUND DANUL 
DAOLI, TAREI SPLIN CHULO DAOLI 
DAPAR, TAREI CUMAS GHIZD ALDAN DAPAR 
DARAB, TAREI CUMAS GHIZD DARAB 
DARAC, TAREI CUMAS ABDIC DARAC 
DARAI, TAREI CUMIS GUBAV DEPAN DARAI 
DARAM, TAREI CUMAS BANIM GEPID DARAM 
DARAT, TAREI PUSCA ABNEG ABDIC DARAT 
DARAU, TAREI CUMAS ABNEG POHOD DARAU 
DARDA, TAREI CUMAS BLOND DEGAJ ABUZA DARDA 
DARDE, TAREI SCUMP BLOND BUJDA DARDE 
DAREA, TAREI SPUZA ACLAM DEJUN DAREA 
DAREI, TAREI BOCIM DOPEZ DAREI 
DAREZ, TAREI SPUZA ABNEG ABDIC DAREZ 
DARIA, TAREI BOSMA CUPID DARIA 
DARIE, TAREI ABDIC DARIE 
DARII, TAREI CUMIS BLAND DARII 
DARJE, TAREI SCUMP BLOND BUJDA DARJE 
DARJI, TAREI CUMIS GUBAV IZVOD DARJI 
DARMA, TAREI CUMAS FANDA DARMA 
DARME, TAREI SCUMP DEFEL DARME 
DARMI, TAREI CUMIS MODAL DARMI 
DARUI, TAREI CUMIS ADVON DARUI 
DARUL, TAREI CUMAS BOVID DARUL 
DARZA, TAREI CUMAS BLOND DEGAJ ABUZA DARZA 
DARZE, TAREI SCUMP BLOND BUJDA DARZE 
DARZI, TAREI CUMIS GUBAV IZVOD DARZI 
DASEM, TAREI MULSA DATIV DASEM 
DASIA, TAREI SUCIM PLANA ABDIC DASIA 
DASIE, TAREI SPLIN ABDIC DASIE 
DASII, TAREI SPLIN ABDIC DASII 
DATAI, TAREI SULAC BAGAM PFUND DATAI 
DATAM, TAREI CUTAM GEPID DATAM 
DATAT, TAREI CUTAM FLINT BIPED DATAT 
DATAU, TAREI CUTAM GEPID DATAU 
DATEI, TAREI CLOMB GUVID DATEI 
DATEZ, TAREI BULCA GOMOS ABDIC DATEZ 
DATII, TAREI SULAC PONIV BAGAM CHIDA DATII 
DATIV, TAREI SPLIT BUHNA ABDIC DATIV 
DATOR, TAREI SUMAR ABACA DATOR 
DATUL, TAREI CUTAM LABOS GHIZD DATUL 
DAULA, TAREI SULAC PFUND ABALE DAULA 
DAULI, TAREI SPLIN CHULO DAULI 
DAUNA, TAREI SULAC FONDA DAUNA 
DAUNE, TAREI SCUMP AFUND DAUNE 
DAYAC, TAREI SULAC MIZID ABNEG DAYAC 
DEASA, TAREI SLANA DEASA 
DEBIL, TAREI MULSE ADVON DEBIL 
DEBIT, TAREI SILIM DUTCE DEBIT 
DEBUT, TAREI SOPUL ADNAT DEBUT 
DEBYE, TAREI SONUL CHIBZ DEBYE 
DECAD, TAREI SLANA CEDAU DECAD 
DECAN, TAREI SLANA PECUM ABDIC DECAN 
DECAR, TAREI CRASA DEBIL DECAR 
DECAT, TAREI SEACA ABCES DECAT 
DECES, TAREI MUSON CEPUL DECES 
DECID, TAREI MULSE NOCIV DECID 
DECIS, TAREI MULSE BASON ABACA DECIS 
DECOR, TAREI COMUN JIDOV DECOR 
DECUL, TAREI SONUL CELOM ABACA DECUL 
DEDAI, TAREI SENAL CHEAG ABDIC DEDAI 
DEDAL, TAREI SLANA PECUM ADAOG DEDAL 
DEDAM, TAREI SLANA CEDAU DEDAM 
DEDAT, TAREI SEACA GLANT ADIAM DEDAT 
DEDAU, TAREI SLANA CEDAU DEDAU 
DEDEA, TAREI LOCUS DEMNE DEDEA 
DEDEI, TAREI SONUL MEDIC BATAV DACEI DEDEI 
DEDIC, TAREI MULSE NOCIV ABDIC DEDIC 
DEDOI, TAREI SECUL PONIV DEDOI 
DEDUC, TAREI SONUL APLEC DEDUC 
DEDUS, TAREI SONUL ESPUI DEDUS 
DEFEL, TAREI MUSON DALAC DEFEL 
DEFER, TAREI ROCUL DEVIN ABNEG DEFER 
DEGAJ, TAREI SLANA CEDAU DEGAJ 
DEGER, TAREI ROCUL DEVIN ABNEG DEGER 
DEGET, TAREI COMUT SVEDA DEGET 
DEISM, TAREI MULSE ABDIC DEISM 
DEIST, TAREI SILIM CELTE DEIST 
DEJEI, TAREI SONUL MEDIC DEJEI 
DEJOC, TAREI SONUL DREGE DEJOC 
DEJUG, TAREI SONUL APLEC DEJUG 
DEJUN, TAREI SONUL DEJOC DEJUN 
DELAS, TAREI SLANA ABATU DELAS 
DELCO, TAREI SONUL DEJOC DELCO 
DELEG, TAREI MUSON DALAC DELEG 
DELEI, TAREI SONUL LEZAM CAVAF ABDIC DELEI 
DELIA, TAREI SLICE DEMNA DELIA 
DELIE, TAREI MULSE DIHOC DELIE 
DELII, TAREI SECUL FALIM BOVID DELII 
DELIR, TAREI VUIRE DEMOS DELIR 
DELIU, TAREI MULSE ABDIC DELIU 
DELOC, TAREI SONUL DEJOC DELOC 
DELTA, TAREI SEACA FALUN DELTA 
DELTE, TAREI SOPUL CALFE DELTE 
DELUT, TAREI SOPUL ABACA DELUT 
DEMEI, TAREI SONUL MEDIC DEMEI 
DEMIS, TAREI MULSE CREPS DEMIS 
DEMIT, TAREI SILIM ABTIN DEMIT 
DEMIU, TAREI MULSE DEMIU 
DEMNA, TAREI SLANA ABDIC DEMNA 
DEMNE, TAREI SONUL ABDIC DEMNE 
DEMNI, TAREI SECUL PONIV DEMNI 
DEMON, TAREI SONUL DEMNE DEMON 
DEMOS, TAREI SONUL DROPS DEMOS 
DENAR, TAREI CRASA NODAL DENAR 
DENEG, TAREI MUSON FAGUL DENEG 
DENIA, TAREI SLICE DINAM DENIA 
DENIE, TAREI MULSE NOCIV ADNAT DENIE 
DENII, TAREI SECUL PONIV DOGIM DENII 
DENSA, TAREI SLANA ABDIC DENSA 
DENSE, TAREI SONUL ACIDA DENSE 
DENSI, TAREI SECUL DOSIM DENSI 
DEPAN, TAREI SLANA PECUM DEPAN 
DEPAR, TAREI CRASA NODAL ABJUR DEPAR 
DEPOU, TAREI SONUL ABACE DEPOU 
DEPUI, TAREI SECUL DEGAJ DEPUI 
DEPUN, TAREI SONUL DEJOC DEPUN 
DEPUS, TAREI SONUL ESPUI DEPUS 
DERBI, TAREI SUCIM INDOP DERBI 
DERBY, TAREI MUCOS BLAND DERBY 
DEREA, TAREI CONDU DEREA 
DEREG, TAREI MUCOS ABNEG DEREG 
DERES, TAREI MUCOS ABDIC DERES 
DERIV, TAREI SCUFE ABNEG DERIV 
DERMA, TAREI SMUGA BIFID DERMA 
DERME, TAREI MUCOS BIFID DERME 
DEROG, TAREI MUCOS ADANC DEROG 
DESAG, TAREI SLANA EDEME DESAG 
DESCA, TAREI SLANA ABDIC DESCA 
DESCE, TAREI SONUL ABACA DESCE 
DESEC, TAREI MUSON ABDIC DESEC 
DESEI, TAREI SONUL BIFAM DESEI 
DESEL, TAREI MUSON ABDIC DESEL 
DESEN, TAREI MUSON DESEN 
DESET, TAREI COMUT SVEDA DESET 
DESEU, TAREI MUSON DESEU 
DESFA, TAREI SLANA ABDIC DESFA 
DESII, TAREI SECUL DOSIM DESII 
DESIR, TAREI VUIRE DEMOS DESIR 
DESIS, TAREI MULSE BASON DESIS 
DESTE, TAREI SOPUL ADANC DESTE 
DESTI, TAREI LENTO CUPID DESTI 
DESUL, TAREI SONUL EDEME DESUL 
DESZI, TAREI SECUL DOSIM DESZI 
DETEI, TAREI SIFON GECKO ABDIC DETEI 
DETIE, TAREI SILIM DUTCE DETIE 
DETII, TAREI LENTO ABDIC DETII 
DETIN, TAREI SILIM DUTCE DETIN 
DETIU, TAREI SILIM DUTCE DETIU 
DETUN, TAREI SOPUL ADNAT DETUN 
DEVER, TAREI ROCUL DEVIN DEVER 
DEVIA, TAREI SLICE DINAM DEVIA 
DEVIE, TAREI MULSE NOCIV ADAOG DEVIE 
DEVII, TAREI SECUL PONIV DEVII 
DEVIN, TAREI MULSE NOCIV ABDIC DEVIN 
DEVIU, TAREI MULSE ACNEE DEVIU 
DEVIZ, TAREI MULSE NOCIV DEVIZ 
DEVLA, TAREI SLANA ABURC DEVLA 
DEVLE, TAREI SONUL VECHE DEVLE 
DEVON, TAREI SONUL DEMNE DEVON 
DEVOT, TAREI SOPUL BETON DEVOT 
DEZIC, TAREI MULSE NOCIV ABDIC DEZIC 
DEZIS, TAREI MULSE BASON ABACA DEZIS 
DIACE, TAREI SLICE ABDIC DIACE 
DIATA, TAREI SUINA MOLID ABACA DIATA 
DIATE, TAREI LEITE ABACA DIATE 
DIBLA, TAREI MILAN SCALD DIBLA 
DIBLE, TAREI MULSE VOIND ABACA DIBLE 
DIBLU, TAREI COLUN PASIM DIBLU 
DIBOL, TAREI COLUN BLIMP ABDIC DIBOL 
DIBUI, TAREI SOCUL PIZMA DIBUI 
DICTA, TAREI SUINA MOLID ABACA DICTA 
DICTU, TAREI SOCUL DICTU 
DIECI, TAREI SECUL CAPON DIECI 
DIENA, TAREI SLICE DINAM DIENA 
DIENE, TAREI MULSE NOCIV AZIDA DIENE 
DIETA, TAREI LEITE ABDIC DIETA 
DIETE, TAREI SILIM BUNDE DIETE 
DIEZA, TAREI SLICE DINAM DIEZA 
DIEZI, TAREI SECUL DIMON DIEZI 
DIFER, TAREI PLIMB BIFEZ DIFER 
DIFUZ, TAREI COLUN ADIAM DIFUZ 
DIGER, TAREI PLIMB BIFEZ DIGER 
DIGIT, TAREI SOCUL INTIM ABDIC DIGIT 
DIGUL, TAREI COLUN PISAM GRAJD DIGUL 
DIHAI, TAREI SULAC VIIND DIHAI 
DIHOC, TAREI COLUN ADMIS DIHOC 
DIHOR, TAREI UNDOS ABILA DIHOR 
DIJMA, TAREI MILAN SUDIC DIJMA 
DIJME, TAREI MULSE ZIDII DIJME 
DILAT, TAREI SUINA PICOL AFIDA DILAT 
DILEA, TAREI MILOS ADAPA DILEA 
DILIA, TAREI MILAN SCHIF DILIA 
DILIE, TAREI MULSE DIHOC DILIE 
DILII, TAREI SOCUL MINGE BIPED DILII 
DILIM, TAREI COLUN ADMIS DILIM 
DILIT, TAREI SOCUL BIPED DILIT 
DILIU, TAREI COLUN ACAJU DILIU 
DILUA, TAREI MILAN SCHIF ABATU DILUA 
DIMER, TAREI PLIMB DANEZ DIMER 
DIMIA, TAREI MILAN SUDIC DIMIA 
DIMIE, TAREI MULSE ZIDII DIMIE 
DIMII, TAREI SOCUL GINIM ADMIR DIMII 
DIMON, TAREI COLUN BIPED DIMON 
DINAM, TAREI MILAN ABDIC DINAM 
DINAR, TAREI URICA DIPOL DINAR 
DINEE, TAREI SINUL ACUZE DINEE 
DINEI, TAREI SONUL DEGAJ DINEI 
DINEU, TAREI SINUL DINEU 
DINGO, TAREI COLUN BIDON DINGO 
DINTA, TAREI SUINA BIGAM ABDIC DINTA 
DINTE, TAREI SILIM BUNDE DINTE 
DINTI, TAREI COSUL NIMBA ABDIC DINTI 
DIODA, TAREI MILAN CUPID ADVON DIODA 
DIODE, TAREI MULSE NOCIV ABACA DIODE 
DIOIC, TAREI COLUN ADMIS DIOIC 
DIPOD, TAREI COLUN SINOD DIPOD 
DIPOL, TAREI COLUN BLIMP ABCES DIPOL 
DIREG, TAREI SCUMP EVING DIREG 
DIRES, TAREI SCUMP DIRES 
DIRIG, TAREI MUCOS ADVON DIRIG 
DISCO, TAREI COLUN ADMIS DISCO 
DISEC, TAREI SINUL BIFID DISEC 
DITAI, TAREI COTUL ABDIC DITAI 
DIURN, TAREI UNDOS DIURN 
DIVAN, TAREI MILAN PAVAJ DIVAN 
DIVEI, TAREI SONUL MEDIC DIVEI 
DIVID, TAREI COLUN DEISM DIVID 
DIVIN, TAREI COLUN ABCES DIVIN 
DIXIE, TAREI MULSE NOCIV ADAPA DIXIE 
DOAGA, TAREI SULAC AVAND ABNEG DOAGA 
DOAGE, TAREI SLANA CIOMP BADEA DOAGE 
DOAPA, TAREI SULAC AVAND ABNEG DOAPA 
DOAPE, TAREI SLANA CIOMP DOAPE 
DOARA, TAREI SUCNA ADORM ABACA DOARA 
DOARE, TAREI CRASA MODRU DOARE 
DOBAS, TAREI SULAC BOSON DOBAS 
DOBEI, TAREI SONUL MEDIC ABUZA DOBEI 
DOBOR, TAREI MOSUC DEPAN DOBOR 
DOBOS, TAREI BOLUS DOBOS 
DOBRU, TAREI MOSUC DOBRU 
DOCAR, TAREI SUCNA ADULA DOCAR 
DOCIL, TAREI COLUN ABCES DOCIL 
DOCTA, TAREI SULAC COPCA DOCTA 
DOCTE, TAREI SOPUL CAFTI DOCTE 
DOCTI, TAREI COSUL ADVON DOCTI 
DOCUL, TAREI BOLUS COMOD DOCUL 
DODEA, TAREI LOCUS BUGED ADAPA DODEA 
DODEI, TAREI SONUL MEDIC ACHII DODEI 
DODII, TAREI SOCUL IMBIN GEPID ABUZA DODII 
DODIM, TAREI COLUN DESZI ABDIC DODIM 
DODIT, TAREI SOCUL BATEM INDOP DODIT 
DOGAR, TAREI SUCNA MODAL DOGAR 
DOGEA, TAREI LOCUS BUGED DOGEA 
DOGII, TAREI SOCUL IMBIN GEPID DOGII 
DOGIM, TAREI COLUN DESZI ABDIC DOGIM 
DOGIT, TAREI SOCUL BATEM INDOP DOGIT 
DOGMA, TAREI SULAC AVAND DOGMA 
DOGME, TAREI SONUL BLIMP DOGME 
DOGUL, TAREI BOLUS COMOD ALPIN DOGUL 
DOHOT, TAREI LOCUS HABAN ABDIC DOHOT 
DOICA, TAREI MILAN SODIC DOICA 
DOICI, TAREI SOCUL PODIM DOICI 
DOIME, TAREI MULSE ZIDII DOIME 
DOIMI, TAREI SOCUL IMBIN DOIMI 
DOINA, TAREI MILAN DUIOS DOINA 
DOINE, TAREI MULSE NOCIV ABDIC DOINE 
DOINI, TAREI SOCUL IMBIN ABONA DOINI 
DOIUL, TAREI COLUN SFIDA DOIUL 
DOLAR, TAREI SUCNA MODAL DOLAR 
DOLBY, TAREI BOLUS DOLBY 
DOLCE, TAREI SONUL BUJDA DOLCE 
DOLIA, TAREI MILAN OFUSC ABDIC DOLIA 
DOLIE, TAREI MULSE DIHOC DOLIE 
DOLII, TAREI SOCUL OBLIG DIFUZ DOLII 
DOLIU, TAREI COLUN ABDIC DOLIU 
DOLLY, TAREI BOLUS AMVON DOLLY 
DOLUL, TAREI BOLUS CADEM DOLUL 
DOMEI, TAREI SONUL MEDIC DOMEI 
DOMIN, TAREI COLUN BAGAM DOMIN 
DOMNI, TAREI SOCUL IMBIN ABDIC DOMNI 
DOMNU, TAREI BOLUS AFUND DOMNU 
DOMOL, TAREI BOLUS ADMIR DOMOL 
DOMRA, TAREI SUCNA ADORM DOMRA 
DOMRE, TAREI COMUN DOMRE 
DOMUL, TAREI BOLUS COMOD DOMUL 
DONAI, TAREI SULAC VIIND DONAI 
DONAM, TAREI SULAC DOPAM ABNEG DONAM 
DONAT, TAREI SULAC NOVAM DONAT 
DONAU, TAREI SULAC NOPAM DONAU 
DONEZ, TAREI MUSON CUPID DONEZ 
DONOR, TAREI MOSUC DEPAN DONOR 
DOPAI, TAREI SULAC VIIND ABUZA DOPAI 
DOPAJ, TAREI SULAC DOPAM DOPAJ 
DOPAM, TAREI SULAC DOPAM 
DOPAT, TAREI SULAC NOVAM DATEZ DOPAT 
DOPAU, TAREI SULAC NOPAM DOPAU 
DOPEZ, TAREI MUSON BAZAL ABACA DOPEZ 
DOPUL, TAREI BOLUS COMOD ALPIN DOPUL 
DOREA, TAREI CONDU DOREA 
DORIC, TAREI MUCOS ABACA DORIC 
DORII, TAREI COBIM HENDS DORII 
DORIM, TAREI MUCOS CODEZ DORIM 
DORIT, TAREI SODIU DORIT 
DORMI, TAREI COBIM ADAOG DORMI 
DORNA, TAREI CUBAM ACIDA DORNA 
DORNE, TAREI MUCOS BAHNA DORNE 
DORUL, TAREI COMUN BIFEZ CHIPS DORUL 
DORUT, TAREI CUPON DORUT 
DOSAR, TAREI SUCNA ABROG DOSAR 
DOSEA, TAREI LOCUS ADIAM DOSEA 
DOSII, TAREI SOCUL JUPIM ABACA DOSII 
DOSIM, TAREI COLUN DESZI DOSIM 
DOSIT, TAREI SOCUL ADAOS DOSIT 
DOSPI, TAREI SOCUL JUPIM DOSPI 
DOSUL, TAREI BOLUS SCUMP ABDIC DOSUL 
DOTAI, TAREI COTUL ADVON DOTAI 
DOTAL, TAREI SULAC ABDIC DOTAL 
DOTAM, TAREI SULAC NOVAM ABDIC DOTAM 
DOTAT, TAREI SULAC NOVAM DATEZ DOTAT 
DOTAU, TAREI SULAC BOIND DOTAU 
DOTEI, TAREI SIFON ABDIC DOTEI 
DOTEZ, TAREI COMUT BAZIN ABDIC DOTEZ 
DOXEI, TAREI SONUL MEDIC ABUZA DOXEI 
DOZAI, TAREI SULAC VIIND ABUZA DOZAI 
DOZAJ, TAREI SULAC DOPAM DOZAJ 
DOZAM, TAREI SULAC DOPAM ABNEG DOZAM 
DOZAT, TAREI SULAC NOVAM DATEZ DOZAT 
DOZAU, TAREI SULAC NOPAM ABDIC DOZAU 
DOZEI, TAREI SONUL MEDIC ABUZA DOZEI 
DOZEZ, TAREI MUSON BAZAL ABDIC DOZEZ 
DRACI, TAREI ABURC PODIS DRACI 
DRACU, TAREI SUCNA ABACA DRACU 
DRAGA, TAREI SUCNA ADORM AGUDA DRAGA 
DRAGE, TAREI CRASA MUNGO DRAGE 
DRAGI, TAREI ABURC DROPS DRAGI 
DRAIN, TAREI URICA ABNEG DRAIN 
DRAIV, TAREI URICA ABNEG DRAIV 
DRAMA, TAREI SUCNA ADORM DRAMA 
DRAME, TAREI CRASA MUNGO ABACA DRAME 
DRANG, TAREI SUCNA IZVOD DRANG 
DRAPA, TAREI SUCNA ADORM AGUDA DRAPA 
